date_time	Cod_estacao	latitude	longitude	Altitude	temp_max	temp_min	prec_acum
2024-05-26	82598.0	-6.0	-35.0	2.0	28.240997	27.830658	250.06177
2024-05-26	86678.0	-13.0	-38.5	2.0	26.072906	23.602325	21.260681
2024-05-26	81715	-2.5	-44.0	2.0	27.952728	26.898224	69.58511
2024-05-26	81730	-3.0	-60.0	2.0	29.13736	24.330841	71.34381
2024-05-26	81827	-5.0	-43.0	2.0	30.882477	23.300568	35.398712
2024-05-26	82280	-2.5	-44.5	2.0	27.295563	25.536896	85.295105
2024-05-26	82281	-2.5	-44.0	2.0	27.952728	26.898224	69.58511
2024-05-26	82331	-3.0	-60.0	2.0	29.13736	24.330841	71.34381
2024-05-26	82332	-3.0	-60.0	2.0	29.13736	24.330841	71.34381
2024-05-26	82578	-5.0	-43.0	2.0	30.882477	23.300568	35.398712
2024-05-26	82579	-5.0	-43.0	2.0	30.882477	23.300568	35.398712
2024-05-26	83781	-23.5	-46.5	2.0	15.330719	13.531036	52.451477
2024-05-26	83967	-30.0	-51.0	2.0	16.72818	9.112091	159.16852
2024-05-26	86988	-30.0	-51.0	2.0	16.72818	9.112091	159.16852
2024-05-26	SBEG	-3.0	-60.0	2.0	29.13736	24.330841	71.34381
2024-05-26	SBMN	-3.0	-60.0	2.0	29.13736	24.330841	71.34381
2024-05-26	SBMT	-23.5	-46.5	2.0	15.330719	13.531036	52.451477
2024-05-26	SBPA	-30.0	-51.0	2.0	16.72818	9.112091	159.16852
2024-05-26	SBRF	-8.0	-35.0	2.0	28.217377	23.949982	41.529877
2024-05-26	SBSL	-2.5	-44.0	2.0	27.952728	26.898224	69.58511
2024-05-26	SBSP	-23.5	-46.5	2.0	15.330719	13.531036	52.451477
2024-05-26	SBTE	-5.0	-43.0	2.0	30.882477	23.300568	35.398712
2024-05-27	82598.0	-6.0	-35.0	2.0	28.467194	25.801239	345.0894
2024-05-27	86678.0	-13.0	-38.5	2.0	27.25766	25.538544	35.351166
2024-05-27	81715	-2.5	-44.0	2.0	27.281097	25.060028	141.76556
2024-05-27	81730	-3.0	-60.0	2.0	29.714691	24.300262	117.6918
2024-05-27	81827	-5.0	-43.0	2.0	33.039886	22.785614	74.68457
2024-05-27	82280	-2.5	-44.5	2.0	28.481293	24.813934	207.73492
2024-05-27	82281	-2.5	-44.0	2.0	27.281097	25.060028	141.76556
2024-05-27	82331	-3.0	-60.0	2.0	29.714691	24.300262	117.6918
2024-05-27	82332	-3.0	-60.0	2.0	29.714691	24.300262	117.6918
2024-05-27	82578	-5.0	-43.0	2.0	33.039886	22.785614	74.68457
2024-05-27	82579	-5.0	-43.0	2.0	33.039886	22.785614	74.68457
2024-05-27	83781	-23.5	-46.5	2.0	21.199066	13.946686	152.78073
2024-05-27	83967	-30.0	-51.0	2.0	15.655121	12.988678	241.97925
2024-05-27	86988	-30.0	-51.0	2.0	15.655121	12.988678	241.97925
2024-05-27	SBEG	-3.0	-60.0	2.0	29.714691	24.300262	117.6918
2024-05-27	SBMN	-3.0	-60.0	2.0	29.714691	24.300262	117.6918
2024-05-27	SBMT	-23.5	-46.5	2.0	21.199066	13.946686	152.78073
2024-05-27	SBPA	-30.0	-51.0	2.0	15.655121	12.988678	241.97925
2024-05-27	SBRF	-8.0	-35.0	2.0	26.97348	23.550262	61.969788
2024-05-27	SBSL	-2.5	-44.0	2.0	27.281097	25.060028	141.76556
2024-05-27	SBSP	-23.5	-46.5	2.0	21.199066	13.946686	152.78073
2024-05-27	SBTE	-5.0	-43.0	2.0	33.039886	22.785614	74.68457
2024-05-28	82598.0	-6.0	-35.0	2.0	28.050842	26.363586	372.14313
2024-05-28	86678.0	-13.0	-38.5	2.0	26.384674	25.630371	38.58322
2024-05-28	81715	-2.5	-44.0	2.0	28.466125	26.827637	163.38458
2024-05-28	81730	-3.0	-60.0	2.0	28.95221	24.498535	127.99579
2024-05-28	81827	-5.0	-43.0	2.0	32.960022	23.834473	75.17383
